"CLICODIGO";"GCLCODIGO";"QTD_PAR";"QTD_PAR_TRANSITIONS";"CONJUNTO_DE_5_PARES";"BONIFICACAO";"CLINOMEFANT";"SETOR";"GCLNOME"
129;148;21;4;4;2000;"OTICA HEUSI";"SETOR 5 - BLUMENAU - VALE";"HEUSI"
154;91;2;;0;0;"JOALHERIA E OTICA EDUARDO ";"SETOR 2 - CRICIUMA - SUL";"JOALHERIA OTICA EDUARDO"
198;;50;7;10;3500;"KREISCHE & CIA LTDA";"SETOR 3 - CHAPECO - OESTE - RS";
400;;325;51;65;25500;"RELOJOARIA E OTICA UNIVERSAL LTDA";"SETOR 5 - BLUMENAU - VALE";
628;60;29;5;5;2500;"HELIO ANIBAL GUZZATTI";"SETOR 2 - CRICIUMA - SUL";"GUZZATTI"
849;;256;43;51;21500;"VITAL JOALHERIA E OTICA LTDA";"SETOR 2 - CRICIUMA - SUL";
1186;60;3;;0;0;"RELOJOARIA GUZZATTI LTDA ME";"SETOR 2 - CRICIUMA - SUL";"GUZZATTI"
1272;224;87;26;17;8500;"OTICA ITAÇU LTDA ME";"SETOR 6 - B CAMBORIU - LITORAL";"ITAÇU"
1358;60;5;;1;;"OTICA GUZZATTI";"SETOR 2 - CRICIUMA - SUL";"GUZZATTI"
1407;91;2;;0;0;"JOALHERIA E OTICA EDUARDO";"SETOR 7 - FLORIANOPOLIS  LOJAS";"JOALHERIA OTICA EDUARDO"
2203;91;1;;0;0;"JOALHERIA E OTICA EDUARDO";"SETOR 7 - FLORIANOPOLIS  LOJAS";"JOALHERIA OTICA EDUARDO"
2273;77;5;;1;;"DANJU JOIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
3301;60;16;;3;;"GUZZATTI";"SETOR 2 - CRICIUMA - SUL";"GUZZATTI"
3324;77;7;;1;;"DANJU JOIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
3325;77;6;;1;;"DANJU JOIAS";"SETOR 5 - BLUMENAU - VALE";"DANJU JOIAS"
3827;148;2;;0;0;"OPTICA HEUSI  INDAIAL";"SETOR 5 - BLUMENAU - VALE";"HEUSI"
4078;224;5;;1;;"OTICA ITACU PRIME";"SETOR 6 - B CAMBORIU - LITORAL";"ITAÇU"
4382;77;10;;2;;"DANJU JOIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
4814;77;4;;0;0;"DANJU JOIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
