"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13552019;2023-09-01;1464;;"SETOR 5 - BLUMENAU - VALE";"LD2374        ";0;"VARILUX XR DESIGN STY 1.74 BLUE UV";"BARBARA";"5.102  ";2;195,25
13578462;2023-09-01;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"INDIANARA BORG";"5.101  ";2;672,84
13578536;2023-09-06;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;604,2
13578547;2023-09-05;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"BERNARDO";"6.101  ";2;106,56
13580557;2023-09-12;4154;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"ANA CAROLINA";"5.101  ";2;935,76
13580606;2023-09-05;4154;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"ANA CAROLINA";"5.101  ";2;141,83
13582770;2023-09-04;214;;"SETOR 6 - B CAMBORIU - LITORAL";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"33596958";"5.101  ";2;211,34
13582787;2023-09-04;214;;"SETOR 6 - B CAMBORIU - LITORAL";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"33598114";"5.101  ";2;211,34
13585899;2023-09-05;1270;;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"RAFAEL";"5.101  ";2;795
13585900;2023-09-01;1270;;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"RAFAEL";"5.101  ";2;190,55
13585961;2023-09-04;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"DIANESSA";"5.101  ";2;560,28
13585976;2023-09-11;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2361        ";0;"VARILUX XR DESIGN ORMA XPERIO CINZA";"DIANESSA";"5.102  ";2;181,26
13586163;2023-09-01;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"BERNARDO";"6.101  ";2;674,88
13586515;2023-09-04;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"KEILA";"5.101  ";2;1021
13586658;2023-09-13;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"BERNARDO";"6.101  ";2;674,88
13588995;2023-09-05;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"LUANA";"5.101  ";2;637,56
13589058;2023-09-05;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"DIANESSA";"5.101  ";2;637,56
13589071;2023-09-08;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"DIANESSA";"5.101  ";2;206,51
13589072;2023-09-09;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"LUANA";"5.101  ";2;199,96
13589139;2023-09-05;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"LUANA";"5.101  ";2;637,56
13589166;2023-09-04;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"LUANA";"5.101  ";2;200,04
13589642;2023-09-04;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"INDIANARA BORG";"5.101  ";2;900,48
13589660;2023-09-04;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"INDIANARA BORG";"5.101  ";2;239,93
13589703;2023-09-06;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"BERNARDO";"6.101  ";2;674,88
13589926;2023-09-04;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;560,28
13589956;2023-09-04;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"JULIANA CARDOSO ";"5.101  ";2;234,2
13590028;2023-09-04;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"KEILA";"5.101  ";2;795
13590070;2023-09-15;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"KEILA";"5.101  ";2;191,44
13590077;2023-09-04;450;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MILANE";"5.101  ";2;653,66
13590117;2023-09-04;450;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"MILANE";"5.101  ";2;249,63
13590245;2023-09-04;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"INDIANARA BORG";"5.101  ";2;637,56
13590274;2023-09-06;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"INDIANARA BORG";"5.101  ";2;194,91
13590493;2023-09-05;2104;234;"SETOR 4 - JOINVILLE - NORTE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"KEILA";"5.101  ";2;795
13591807;2023-09-04;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2372        ";0;"VARILUX XR DESIGN STYLIS 1.67 BLUE UV";"KIM-MARLON ";"5.101  ";2;179,38
13592220;2023-09-11;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"MAYARA";"5.101  ";2;900,48
13592234;2023-09-06;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2370        ";1;"VARILUX XR DESIGN AIRWEAR TGEN8 CINZA";"MAYARA";"5.101  ";2;211,07
13592338;2023-09-12;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANA PAULA";"5.101  ";2;560,28
13592384;2023-09-08;3324;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"ANA PAULA";"5.101  ";2;234,2
13593072;2023-09-06;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2379        ";0;"VARILUX XR DESIGN FIT EYE ORMA BLUE UV";"BRUNA";"5.101  ";2;560,28
13593094;2023-09-06;2273;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2418        ";0;"VARILUX XR DESIGN FIT EYE ORMA COLOR";"BRUNA";"5.101  ";2;115,71
13593199;2023-09-06;450;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SONIA";"5.101  ";2;653,66
13594194;2023-09-06;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BERNARDO";"6.101  ";2;604,2
13594320;2023-09-05;450;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SONIA";"5.101  ";2;653,66
