"CLICODIGO";"QTD_PAR";"QTD_PAR_TRANSITIONS";"CONJUNTO_DE_5_PARES";"BONIFICACAO";"CLINOMEFANT";"SETOR";"GCLNOME"
4382;41;8;8;4000;"DANJU JOIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
3325;38;9;7;3500;"DANJU JOIAS";"SETOR 5 - BLUMENAU - VALE";"DANJU JOIAS"
198;37;7;7;3500;"KREISCHE & CIA LTDA";"SETOR 3 - CHAPECO - OESTE - RS";
2273;32;6;6;3000;"DANJU JOIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
290;16;6;3;1500;"CORDEIRO";"SETOR 1 - FLORIANOPOLIS REDES";
291;16;1;3;500;"OTICA LUZ";"SETOR 4 - JOINVILLE - NORTE";"OTICA LUZ"
1419;16;3;3;1500;"LOOK OPTICA ";"SETOR 5 - BLUMENAU - VALE";
1270;16;2;3;1000;"JOALHERIA E OTICA PRESIDENTE LTDA";"SETOR 5 - BLUMENAU - VALE";
709;14;3;2;1000;"OTICA BRUST";"SETOR 3 - CHAPECO - OESTE - RS";
2104;13;1;2;500;"OTICA SANTA CECILIA";"SETOR 4 - JOINVILLE - NORTE";"OTICA SANTA CECILIA"
213;12;4;2;1000;"LINO RELOJOARIA E OTICA LTDA";"SETOR 2 - CRICIUMA - SUL";
47;12;2;2;1000;"OTICA CALLIARI LTDA";"SETOR 3 - CHAPECO - OESTE - RS";
1281;11;5;2;1000;"RAUL CESAR GHENO";"SETOR 3 - CHAPECO - OESTE - RS";
4752;10;2;2;1000;"FRANCA RELOJOARIA E OTICA";"SETOR 3 - CHAPECO - OESTE - RS";
1464;9;;1;;"A ESPECIALISTA OPTICA";"SETOR 5 - BLUMENAU - VALE";
3324;9;;1;;"DANJU JOIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
450;7;;1;;"TIEPPO E TIEPPO";"SETOR 3 - CHAPECO - OESTE - RS";
177;7;2;1;500;"JOALHERIA E OTICA SIMARA LTDA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
214;7;1;1;500;"LOCH JOALHEIROS E OTICA LTDA";"SETOR 6 - B CAMBORIU - LITORAL";
654;6;;1;;"LUNA OPTICA";"SETOR 2 - CRICIUMA - SUL";"OPTICA LUNA"
4154;6;2;1;500;"DANJU JOIAS E BIJUTERIAS";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
1318;5;1;1;500;"FAVANI COMERCIO DE JOIAS LTDA ME";"SETOR 5 - BLUMENAU - VALE";
4132;5;;1;;"DANJU JOIAS ITAPEMA";"SETOR 6 - B CAMBORIU - LITORAL";"DANJU JOIAS"
1704;4;2;0;0;"OTICA CONCEITO";"SETOR 1 - FLORIANOPOLIS REDES";
1903;4;;0;0;"OTICA KI OLHAR 5";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
840;2;2;0;0;"BARBARA K";"SETOR 1 - FLORIANOPOLIS REDES";"BARBARA K"
