"CLICODIGO";"GCLCODIGO";"QTD_PAR";"QTD_PAR_TRANSITIONS";"CONJUNTO_DE_5_PARES";"BONIFICACAO";"CLINOMEFANT";"SETOR";"GCLNOME"
198;;36;8;7;3500;"KREISCHE & CIA LTDA";"SETOR 3 - CHAPECO - OESTE - RS";
291;199;20;3;4;1500;"OTICA LUZ";"SETOR 4 - JOINVILLE - NORTE";"OTICA LUZ"
1419;;17;3;3;1500;"LOOK OPTICA ";"SETOR 5 - BLUMENAU - VALE";
290;;16;6;3;1500;"CORDEIRO";"SETOR 1 - FLORIANOPOLIS REDES";
213;;16;4;3;1500;"LINO RELOJOARIA E OTICA LTDA";"SETOR 2 - CRICIUMA - SUL";
709;;14;3;2;1000;"OTICA BRUST";"SETOR 3 - CHAPECO - OESTE - RS";
1270;;14;2;2;1000;"JOALHERIA E OTICA PRESIDENTE LTDA";"SETOR 5 - BLUMENAU - VALE";
47;;12;2;2;1000;"OTICA CALLIARI LTDA";"SETOR 3 - CHAPECO - OESTE - RS";
4752;;12;2;2;1000;"FRANCA RELOJOARIA E OTICA";"SETOR 3 - CHAPECO - OESTE - RS";
2104;234;12;;2;;"OTICA SANTA CECILIA";"SETOR 4 - JOINVILLE - NORTE";"OTICA SANTA CECILIA"
1281;;11;5;2;1000;"RAUL CESAR GHENO";"SETOR 3 - CHAPECO - OESTE - RS";
177;12;11;2;2;1000;"JOALHERIA E OTICA SIMARA LTDA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
1464;;9;;1;;"A ESPECIALISTA OPTICA";"SETOR 5 - BLUMENAU - VALE";
654;195;8;1;1;500;"LUNA OPTICA";"SETOR 2 - CRICIUMA - SUL";"OPTICA LUNA"
450;;7;2;1;500;"TIEPPO E TIEPPO";"SETOR 3 - CHAPECO - OESTE - RS";
1704;;6;3;1;500;"OTICA CONCEITO";"SETOR 1 - FLORIANOPOLIS REDES";
1318;;6;1;1;500;"FAVANI COMERCIO DE JOIAS LTDA ME";"SETOR 5 - BLUMENAU - VALE";
1903;56;6;;1;;"OTICA KI OLHAR 5";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
214;;5;1;1;500;"LOCH JOALHEIROS E OTICA LTDA";"SETOR 6 - B CAMBORIU - LITORAL";
4387;37;4;;0;0;"A PRIME";"SETOR 1 - FLORIANOPOLIS REDES";"BARBARA K"
163;12;3;3;0;0;"JOALHERIA E OTICA PALADIO LTDA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
840;37;2;2;0;0;"BARBARA K";"SETOR 1 - FLORIANOPOLIS REDES";"BARBARA K"
4122;234;2;;0;0;"OTICA SANTA CECILIA";"SETOR 4 - JOINVILLE - NORTE";"OTICA SANTA CECILIA"
1742;56;2;;0;0;"OPTICA BLICK ";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
1777;56;2;;0;0;"OTICA MOMM LTDA EPP";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
634;;2;1;0;0;"ÓTICA PONTUAL";"SETOR 6 - B CAMBORIU - LITORAL";
154;91;1;;0;0;"JOALHERIA E OTICA EDUARDO ";"SETOR 2 - CRICIUMA - SUL";"JOALHERIA OTICA EDUARDO"
314;31;1;;0;0;"OTICA HUSADEL LTDA";"SETOR 5 - BLUMENAU - VALE";"HUSADEL"
421;198;1;1;0;0;"GILCINEA DOS ANJOS ME";"SETOR 6 - B CAMBORIU - LITORAL";"GILCINEIA"
168;;;;;;"OTICA ORIENTE";"SETOR 1 - FLORIANOPOLIS REDES";
642;;;;;;"OPTICA E JOALHERIA LAPIDARE LTDA";"SETOR 1 - FLORIANOPOLIS REDES";
295;37;;;;;"AUGUSTO JOIAS";"SETOR 1 - FLORIANOPOLIS REDES";"BARBARA K"
2090;;;;;;"VALMOR OTICA";"SETOR 2 - CRICIUMA - SUL";
826;;;;;;"RELOJOARIA E OTICA MIRVAINE LTDA";"SETOR 2 - CRICIUMA - SUL";
1374;12;;;;;"PALADIO SIMARA JOALHERIA E OTICA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
1432;12;;;;;"PALADIO SIMARA JOALHERIA E OTICA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
1954;12;;;;;"PALADIO SIMARA JOALHERIA E OTICA";"SETOR 4 - JOINVILLE - NORTE";"PALADIO "
329;82;;;;;"OTICA MODERNA LTDA";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
4521;82;;;;;"MODERNA CONCEPT";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
1435;82;;;;;"OTICA MODERNA";"SETOR 6 - B CAMBORIU - LITORAL";"OTICA MODERNA LTDA"
44;82;;;;;"C.B.J. COMERCIO REPRESENTAÇAO LTDA";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
4058;82;;;;;"OTICA MODERNA";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
1434;82;;;;;"OTICA MODERNA";"SETOR 5 - BLUMENAU - VALE";"OTICA MODERNA LTDA"
4747;56;;;;;"OTICA EVIDENCE";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
1864;;;;;;;;
330;56;;;;;"MOMM - INDAIAL";"SETOR 5 - BLUMENAU - VALE";"OPTICA BLICK "
4161;262;;;;;"OTICA DO ALEMAO";"SETOR 6 - B CAMBORIU - LITORAL";"ALEMAO / ESTEFANO"
2237;154;;;;;"OTICA XAVIER";"SETOR 6 - B CAMBORIU - LITORAL";"OTICA XAVIER"
275;154;;;;;"MARIA IVANIR SANTOS XAVIER ME";"SETOR 6 - B CAMBORIU - LITORAL";"OTICA XAVIER"
