"";"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"PDPDESCRICAO";"PEDAUTORIZOU";"QTD";"VRVENDA";"BONUS"
"1";13313707;2023-05-02;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";NA;2;427,9;50
"2";13313797;2023-05-02;4122;234;"SETOR 4 - JOINVILLE - NORTE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"LEILA";2;977,6;70
"3";13316078;2023-05-04;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1653        ";"KODAK NETWORK UHD POLY TGEN8 CINZA";NA;2;479,6;50
"4";13316115;2023-05-04;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD0085        ";"VARILUX E DESIGN ORMA TGEN8 CINZA";NA;2;733,81;100
"5";13317336;2023-05-04;129;148;"SETOR 5 - BLUMENAU - VALE";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"STEFANIE";2;672,01;70
"6";13318023;2023-05-04;3338;NA;"SETOR 7 - FLORIANOPOLIS  LOJAS";"LP0284        ";"VARILUX COMFORT ORMA TGEN8 CINZA";"3338";2;841,4;60
"7";13318035;2023-05-03;826;NA;"SETOR 2 - CRICIUMA - SUL";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"32381325";2;904,28;70
"8";13318439;2023-05-04;654;195;"SETOR 2 - CRICIUMA - SUL";"LD1533        ";"ESSILOR EYEZEN START AIR TGEN8 CINZA";"KATIANE";2;738,72;50
"9";13318568;2023-05-03;186;126;"SETOR 1 - FLORIANOPOLIS REDES";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"GABRIELA";2;916,5;70
"10";13319728;2023-05-03;4122;234;"SETOR 4 - JOINVILLE - NORTE";"LD1643        ";"KODAK UNIQUE UHD 1.50 TGEN8 CINZA";"LIA";2;684;50
"11";13322543;2023-05-04;168;NA;"SETOR 1 - FLORIANOPOLIS REDES";"LP0284        ";"VARILUX COMFORT ORMA TGEN8 CINZA";"DAIANA";2;961,6;60
"12";13322978;2023-05-09;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";NA;2;374,55;50
"13";13323005;2023-05-09;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1649        ";"KODAK NETWORK UHD 1.50 TGEN8 CINZA";NA;2;427,9;50
"14";13323396;2023-05-05;475;NA;"SETOR 5 - BLUMENAU - VALE";"LD1638        ";"KODAK PRECISE UHD POLY TGEN8 CINZA";"NELSON";2;504,4;50
"15";13323484;2023-05-10;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"BERNARDO";2;708,76;70
"16";13325349;2023-05-04;654;195;"SETOR 2 - CRICIUMA - SUL";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"ALESSANDRA";2;422,97;50
"17";13325958;2023-05-05;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"MARCELO";2;1099,8;70
"18";13327183;2023-05-09;4387;37;"SETOR 1 - FLORIANOPOLIS REDES";"LD0502        ";"VARILUX X DESIGN FIT EYE AIR TGEN8 CIN";"CINTIA";2;1396,8;100
"19";13328884;2023-05-11;654;195;"SETOR 2 - CRICIUMA - SUL";"LD0526        ";"VARILUX X DESIGN ORMA TGEN8 CINZA";"ALESSANDRA";2;1058,85;100
"20";13338871;2023-05-10;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"MARCELO";2;422,97;50
"21";13338902;2023-05-10;1264;NA;"SETOR 5 - BLUMENAU - VALE";"LP0291        ";"KODAK PRECISE 1.50 TGEN8 CINZA";"MARCELO";2;513;50
"22";13339400;2023-05-12;654;195;"SETOR 2 - CRICIUMA - SUL";"LD1653        ";"KODAK NETWORK UHD POLY TGEN8 CINZA";"ALESSANDRA";2;627,84;50
"23";13339749;2023-05-16;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"STEFANIE";2;818,74;70
"24";13340842;2023-05-16;129;148;"SETOR 5 - BLUMENAU - VALE";"LD1278        ";"VARILUX COMFORT MAX ORM TGEN8 CIN";"BRUNA";2;733,2;70
"25";13340967;2023-05-15;450;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1634        ";"KODAK PRECISE UHD 1.50 TGEN8 CINZA";"SONIA";2;409,35;50
"26";13341033;2023-05-11;450;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD0779        ";"VARILUX LIBERTY 360 3.0 ORMA TGEN8 CINZA";"SONIA";2;576;70
"27";13341950;2023-05-12;453;185;"SETOR 3 - CHAPECO - OESTE - RS";"T8CEP+025+000 ";"LA ORMA TGEN8 GREY CRIZAL EASY PRO 65MM +025 ESF";"PAMELA";2;218;35
"28";13342369;2023-05-16;198;NA;"SETOR 3 - CHAPECO - OESTE - RS";"LD1643        ";"KODAK UNIQUE UHD 1.50 TGEN8 CINZA";NA;2;470,25;50
