"";"CLICODIGO";"CLINOMEFANT";"QTD";"BONUS"
"1";198;"KREISCHE & CIA LTDA";54;1550
"2";654;"LUNA OPTICA";32;980
"3";290;"CORDEIRO";26;980
"4";129;"OTICA HEUSI";24;840
"5";453;"OTICAS CAROL";24;645
"6";1264;"RELOJOARIA E OTICA DARUI";24;620
"7";560;"ALCIDINO JOALHERIA E OTICA";14;610
"8";168;"OTICA ORIENTE";18;610
"9";450;"TIEPPO E TIEPPO";12;420
"10";164;"JOALHERIA E OPTICA MONDADORI";10;370
"11";1104;"RELOJOARIA E OTICA VEDANI";10;365
"12";3827;"OPTICA HEUSI  INDAIAL";10;360
"13";475;"JOALHERIA CELSO LTDA ME";10;350
"14";3338;"S   TICA ATELIER";8;330
"15";1949;"CLAUDETE MATOS OTICA E JOALHERIA EIRELI ME";10;310
"16";826;"RELOJOARIA E OTICA MIRVAINE LTDA";8;240
"17";3985;"OPTICA LUNA";6;200
"18";4122;"OTICA SANTA CECILIA";6;190
"19";1458;"RELOJOARIA KOERICH";8;185
"20";1752;"DU MARREL";6;180
"21";4387;"A PRIME";4;160
"22";186;"NOVA OTICA LUX";4;140
