"ID_PEDIDO";"PEDDTEMIS";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"PDPDESCRICAO";"QTD";"VRVENDA";"BONUS";"OBS"
13910007;2024-02-01;849;;"SETOR 2 - CRICIUMA - SUL";"LD2394        ";"VARILUX XR TRACK ORMA TGEN8 CINZA";2;480,87;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13922334;2024-02-07;849;;"SETOR 2 - CRICIUMA - SUL";"LD2373        ";"VARILUX XR DESIGN STYLIS 1.67 TGEN8 CINZA";2;1194,9;120;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13922337;2024-02-07;849;;"SETOR 2 - CRICIUMA - SUL";"LD2373        ";"VARILUX XR DESIGN STYLIS 1.67 TGEN8 CINZA";2;267,84;120;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13947883;2024-02-20;849;;"SETOR 2 - CRICIUMA - SUL";"LD2373        ";"VARILUX XR DESIGN STYLIS 1.67 TGEN8 CINZA";2;1260,7;120;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13947906;2024-02-20;849;;"SETOR 2 - CRICIUMA - SUL";"LD2373        ";"VARILUX XR DESIGN STYLIS 1.67 TGEN8 CINZA";2;218,4;120;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13949760;2024-02-21;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13949791;2024-02-21;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13953403;2024-02-22;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13953408;2024-02-22;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13953917;2024-02-22;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13953928;2024-02-22;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13954082;2024-02-22;849;;"SETOR 2 - CRICIUMA - SUL";"LD2394        ";"VARILUX XR TRACK ORMA TGEN8 CINZA";2;485,26;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13955283;2024-02-23;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13955291;2024-02-23;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13955833;2024-02-23;849;;"SETOR 2 - CRICIUMA - SUL";"LD2394        ";"VARILUX XR TRACK ORMA TGEN8 CINZA";2;878,5;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13955840;2024-02-23;849;;"SETOR 2 - CRICIUMA - SUL";"LD2394        ";"VARILUX XR TRACK ORMA TGEN8 CINZA";2;202,13;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13955883;2024-02-23;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13955899;2024-02-23;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13959964;2024-02-26;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13959973;2024-02-26;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13960044;2024-02-26;849;;"SETOR 2 - CRICIUMA - SUL";"LD2363        ";"VARILUX XR DESIGN ORMA TGEN8 MARROM";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13960584;2024-02-26;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13960595;2024-02-26;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13960912;2024-02-26;849;;"SETOR 2 - CRICIUMA - SUL";"LD2363        ";"VARILUX XR DESIGN ORMA TGEN8 MARROM";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13963956;2024-02-27;849;;"SETOR 2 - CRICIUMA - SUL";"LD2394        ";"VARILUX XR TRACK ORMA TGEN8 CINZA";2;831,6;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13963960;2024-02-27;849;;"SETOR 2 - CRICIUMA - SUL";"LD2391        ";"VARILUX XR TRACK ORMA TGEN8 MARROM";2;185,43;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13964610;2024-02-28;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13964619;2024-02-28;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13964743;2024-02-28;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13964770;2024-02-28;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13967208;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2373        ";"VARILUX XR DESIGN STYLIS 1.67 TGEN8 CINZA";2;1260,7;120;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13967215;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2373        ";"VARILUX XR DESIGN STYLIS 1.67 TGEN8 CINZA";2;218,4;120;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13968315;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2415        ";"VARILUX XR PRO STYLIS 1.67 TGEN8 CINZA";2;1981,7;120;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13968361;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2415        ";"VARILUX XR PRO STYLIS 1.67 TGEN8 CINZA";2;225,81;120;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13968768;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13968779;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969477;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2394        ";"VARILUX XR TRACK ORMA TGEN8 CINZA";2;878,5;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969479;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2394        ";"VARILUX XR TRACK ORMA TGEN8 CINZA";2;202,13;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969500;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2394        ";"VARILUX XR TRACK ORMA TGEN8 CINZA";2;878,5;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969514;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969516;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969530;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;751,8;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969534;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;194,09;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969552;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;823,9;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969554;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;226,28;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969562;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;823,9;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
13969564;2024-02-29;849;;"SETOR 2 - CRICIUMA - SUL";"LD2366        ";"VARILUX XR DESIGN ORMA TGEN8 CINZA";2;226,28;100;"VITAL 849 VARILUX TRANSITIONS ESSILOR 0224"
