"ID_PEDIDO";"DATA";"VALOR.VENDA"
13840086;"02/01/24";198,98
13841285;"02/01/24";12,9
13842136;"03/01/24";130
13845078;"05/01/24";730,08
13846367;"10/01/24";829,02
13846380;"05/01/24";147,61
13846384;"04/01/24";147,61
13846409;"08/01/24";837,22
13847949;"08/01/24";621,9
13848476;"10/01/24";1100,44
13848745;"04/01/24";9,9
13848791;"04/01/24";198,98
13848817;"08/01/24";330,61
13850106;"09/01/24";441
13850931;"05/01/24";12,9
13851295;"05/01/24";174,6
13851357;"10/01/24";310,23
13851729;"11/01/24";426,6
13851740;"08/01/24";198,98
13851743;"08/01/24";85
13851876;"08/01/24";117
13852390;"10/01/24";180
13852734;"11/01/24";1080,76
13852754;"10/01/24";621
13852789;"12/01/24";693
13853859;"10/01/24";195,8
13854041;"11/01/24";1233,6
13854061;"10/01/24";250
13854124;"12/01/24";859,6
13854154;"10/01/24";147,61
13854174;"08/01/24";45
13854193;"08/01/24";198,98
13854261;"12/01/24";807,12
13854484;"10/01/24";499,38
13855153;"09/01/24";366,3
13855362;"11/01/24";1125,87
13855391;"11/01/24";1125,87
13855474;"10/01/24";560,07
13855695;"10/01/24";257,41
13855756;"15/01/24";876,82
13855766;"16/01/24";250
13856137;"10/01/24";126,63
13856583;"09/01/24";198,98
13856605;"11/01/24";130
13856641;"11/01/24";545,41
13856934;"11/01/24";999
13856987;"15/01/24";1019,26
13858197;"16/01/24";610,32
13858429;"15/01/24";636,32
13859330;"10/01/24";118,98
13859702;"15/01/24";364,81
13860563;"11/01/24";9,9
13860566;"11/01/24";366,3
13861129;"11/01/24";9,9
13861302;"16/01/24";396
13861804;"16/01/24";1287,6
13861857;"16/01/24";1287,6
13861879;"17/01/24";1287,6
13862573;"16/01/24";185,4
13863569;"16/01/24";1185,15
13863696;"15/01/24";1145,55
13863999;"17/01/24";1038,6
13864035;"16/01/24";233,18
13864071;"15/01/24";233,18
13865522;"18/01/24";876,82
13865590;"18/01/24";859,6
13865602;"18/01/24";250
13865626;"15/01/24";233,18
13866226;"19/01/24";859,6
13866230;"17/01/24";250
13870229;"16/01/24";44,1
13870236;"16/01/24";233,18
13870242;"16/01/24";233,18
13870329;"20/01/24";675,92
13870331;"22/01/24";250
13870340;"22/01/24";876,82
13870344;"22/01/24";859,6
13870345;"18/01/24";250
13871515;"22/01/24";1058,86
13871518;"18/01/24";250
13871523;"18/01/24";722,66
13871532;"22/01/24";442,98
13871535;"18/01/24";322,2
13871546;"22/01/24";1221,22
13873493;"22/01/24";503,99
13873499;"23/01/24";738,92
13874329;"18/01/24";153,18
13874579;"22/01/24";297,01
13874636;"18/01/24";39,6
13874643;"18/01/24";39,6
13876388;"18/01/24";233,18
13877622;"19/01/24";39,6
13877626;"23/01/24";585,01
13877627;"19/01/24";39,6
13877854;"23/01/24";747,9
13877871;"19/01/24";233,18
13878162;"22/01/24";624,6
13879401;"26/01/24";1362,84
13879407;"26/01/24";1233,6
13880080;"26/01/24";1234,8
13880116;"26/01/24";130
13880226;"20/01/24";39,6
13882108;"24/01/24";322,2
13884214;"26/01/24";617,7
13884264;"25/01/24";845,98
13884703;"29/01/24";1228,1
13886440;"23/01/24";52,8
13887002;"24/01/24";50,8
13887010;"29/01/24";476,1
13887410;"29/01/24";268
13887414;"29/01/24";1100,2
13887416;"24/01/24";125,1
13887419;"29/01/24";268
13887525;"24/01/24";342
13887745;"24/01/24";55,9
13887789;"24/01/24";52,8
13888021;"29/01/24";753,3
13888093;"24/01/24";48,4
13888305;"24/01/24";48,4
13889222;"24/01/24";539,1
13889343;"29/01/24";645,3
13889345;"29/01/24";138
13889353;"29/01/24";655,74
13890362;"31/01/24";138
13890377;"25/01/24";539,1
13890399;"29/01/24";1602,2
13890411;"29/01/24";1331,42
13890907;"30/01/24";268
13892078;"25/01/24";247,7
13893052;"30/01/24";1128,06
13893055;"30/01/24";268
13893057;"26/01/24";52,8
13893066;"26/01/24";129,35
13893170;"29/01/24";48
13893592;"30/01/24";1100,2
13895762;"29/01/24";168
13895772;"29/01/24";247,7
13895984;"31/01/24";772,45
13895997;"26/01/24";50,8
13896003;"30/01/24";689,36
13899733;"31/01/24";320,41
13899738;"30/01/24";52,8
13899757;"29/01/24";52,8
13900147;"29/01/24";48,4
13900161;"29/01/24";52,8
13901747;"29/01/24";168
13901751;"29/01/24";247,7
13901753;"29/01/24";168
13902729;"31/01/24";1057
13902750;"30/01/24";65,55
13902779;"30/01/24";468
13903050;"30/01/24";247,7
13903118;"30/01/24";52,8
13903234;"30/01/24";210,8
13903281;"30/01/24";131,1
13903919;"31/01/24";386,23
13903927;"31/01/24";89,94
13904362;"30/01/24";27,95
13905648;"31/01/24";131,1
